INDEX,rubro,articulo,cantidad,final,costo,neto,margen,IVA,ganancia
0,almacen,Danica ketchup 220g,12.0,1850,1193.5483870967741,1528.9256198347107,55,0.21,656.0
1,almacen,DANICA salsa barbacoa 220g,11.0,1840,1187.0967741935483,1520.6611570247935,55,0.21,653.0
2,almacen,Danica salsa golf 220ml,4.0,680,438.7096774193548,561.9834710743802,55,0.21,241.0
3,almacen,dos ancas chimichurri 380gr,1.0,340,219.3548387096774,280.9917355371901,55,0.21,121.0
4,almacen,Fritolim Cocinero clasico,1.0,380,245.16129032258064,314.04958677685954,55,0.21,135.0
5,almacen,Ketchup Hellmanns x 250,18.0,3710,2393.548387096774,3066.115702479339,55,0.21,1316.0
6,almacen,Ketchup Natura 250g,7.0,1500,967.741935483871,1239.6694214876034,55,0.21,532.0
7,almacen,mayonesa BC 250cm,10.0,1530,987.0967741935484,1264.4628099173553,55,0.21,543.0
8,almacen,Mayonesa Danica 250ml,6.0,780,503.22580645161287,644.6280991735538,55,0.21,277.0
9,almacen,Mayonesa DFiesta 250g,5.0,450,290.3225806451613,371.90082644628103,55,0.21,160.0
10,almacen,mayonesa fiesta 95g,15.0,750,483.8709677419355,619.8347107438017,55,0.21,266.0
11,almacen,Mayonesa Hellmanns 118g,9.0,1170,754.8387096774194,966.9421487603306,55,0.21,415.0
12,almacen,Mayonesa Hellmanns Light x 250,10.0,2060,1329.032258064516,1702.4793388429753,55,0.21,731.0
13,almacen,Mayonesa Hellmanns x 237g,48.0,9790,6316.129032258064,8090.909090909091,55,0.21,3474.0
14,almacen,Mayonesa Natura 250cm,144.0,36630,23632.25806451613,30272.727272727272,55,0.21,12998.0
15,almacen,Mayonesa Natura 500cm,3.0,750,483.8709677419355,619.8347107438017,55,0.21,266.0
16,almacen,Minerva 250 ml,6.0,800,516.1290322580645,661.1570247933885,55,0.21,284.0
17,almacen,Mostaza Danica 220g,12.0,1365,880.6451612903226,1128.099173553719,55,0.21,484.0
18,almacen,Natura mayonesa 125 cm3,64.0,12150,7838.709677419354,10041.322314049587,55,0.21,4311.0
19,almacen,sabor en polvo alicante albahaca y ajo,1.0,20,12.903225806451612,16.528925619834713,55,0.21,7.0
20,almacen,sabor en polvo alicante finas hierbas,10.0,50,32.25806451612903,41.32231404958678,55,0.21,18.0
21,almacen,sabor en polvo alicante panceta y hierbas,2.0,10,6.451612903225806,8.264462809917356,55,0.21,4.0
22,almacen,Salsa Aji picante Vanoli 350g,2.0,430,277.4193548387097,355.3719008264463,55,0.21,153.0
23,almacen,Salsa golf 125g,12.0,1080,696.7741935483871,892.5619834710744,55,0.21,383.0
24,almacen,Salsa Golf Natura 250g,1.0,90,58.064516129032256,74.3801652892562,55,0.21,32.0
25,almacen,Savora Original x 250 g,22.0,2810,1812.9032258064515,2322.314049586777,55,0.21,997.0
26,almacen,tau mayonesa con ajo 300g,4.0,1200,774.1935483870967,991.7355371900827,55,0.21,426.0
27,agua mineral (21),Agua mineral Nesle Pureza Vital 2.5 L,4.0,600,387.09677419354836,495.86776859504135,55,0.21,213.0
28,agua mineral (21),Agua mineral nestlé 500 ml,36.0,3880,2503.2258064516127,3206.611570247934,55,0.21,1377.0
29,agua mineral (21),agua nestle 1.5,6.0,1140,735.483870967742,942.1487603305785,55,0.21,405.0
30,agua mineral (21),Agua Nihuil 600 ml,21.0,840,541.9354838709677,694.2148760330579,55,0.21,298.0
31,agua mineral (21),agua nuestra bajo sodio 1.5L,4.0,440,283.8709677419355,363.6363636363636,55,0.21,156.0
32,agua mineral (21),agua nuestra minerizada 500ml,23.0,1610,1038.7096774193549,1330.5785123966944,55,0.21,571.0
