,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final,rubro
0,B 0003- 00176324,2023-01-01,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,180.0,21.0,180.0,coca cola (308)
1,B 0003- 00176324,2023-01-01,Cliente: Consumidor Final (1),100,2,Alfajor Fantoche Triple Blanco,150.0,21.0,300.0,alfajores (5)
2,B 0003- 00176325,2023-01-01,Cliente: Consumidor Final (1),7894680,1,Doritos queso 45g,280.0,21.0,280.0,lays (24)
3,B 0003- 00176325,2023-01-01,Cliente: Consumidor Final (1),907,1,Sprite 1500cc,470.0,21.0,470.0,coca cola (308)
4,B 0003- 00176326,2023-01-01,Cliente: Consumidor Final (1),6848,1,Tabaco Las Hojas Clasico 50g,340.0,21.0,340.0,cigarrillos
5,B 0003- 00176326,2023-01-01,Cliente: Consumidor Final (1),7894098,1,PAPELILLOS PIER CLASICO,90.0,21.0,90.0,cigarrillos
6,B 0003- 00176327,2023-01-01,Cliente: Billetera (23),887,1,Mana Rellenas Chocolate,230.0,21.0,230.0,galletitas (9)
7,B 0003- 00176327,2023-01-01,Cliente: Billetera (23),98,2,Guaymallen Negro,100.0,21.0,200.0,alfajores (5)
8,B 0003- 00176327,2023-01-01,Cliente: Billetera (23),896,1,Coca Cola 500cc,220.0,21.0,220.0,coca cola (308)
9,B 0003- 00176327,2023-01-01,Cliente: Billetera (23),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0,sandwich (1.500)
10,B 0003- 00176328,2023-01-01,Cliente: Consumidor Final (1),6057,1,OCB negros,180.0,21.0,180.0,cigarrillos
11,B 0003- 00176329,2023-01-01,Cliente: Consumidor Final (1),7894860,1,Alfajor Sin Culpa Frutilla 35g,145.0,21.0,145.0,alfajores (5)
12,B 0003- 00176329,2023-01-01,Cliente: Consumidor Final (1),6803,1,Levite Naranja 500c,150.0,21.0,150.0,levite (310)
13,B 0003- 00176329,2023-01-01,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0,comida (30)
14,B 0003- 00176330,2023-01-01,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0,coca cola (308)
15,B 0003- 00176331,2023-01-01,Cliente: Consumidor Final (1),9541068,2,chesterfild remix fresh 20ks,360.0,21.0,720.0,cigarrillos
16,B 0003- 00176332,2023-01-01,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,190.0,21.0,190.0,pepsi (309)
17,B 0003- 00176333,2023-01-01,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0,cigarrillos
18,B 0003- 00176333,2023-01-01,Cliente: Consumidor Final (1),6057,1,OCB negros,180.0,21.0,180.0,cigarrillos
19,B 0003- 00176334,2023-01-01,Cliente: Consumidor Final (1),7893779,1,Pipas Gigantes,120.0,21.0,120.0,almacen (15)
20,B 0003- 00176334,2023-01-01,Cliente: Consumidor Final (1),7893467,1,Yummy ositos,75.0,21.0,75.0,golosinas
21,B 0003- 00176335,2023-01-01,Cliente: Consumidor Final (1),248,1,prime ultra fino,450.0,21.0,450.0,preservativos (27)
22,B 0003- 00176336,2023-01-01,Cliente: Consumidor Final (1),500,500,carga virtual,1.0,21.0,500.0,virtual (1.501)
23,B 0003- 00176337,2023-01-01,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0,cigarrillos
24,B 0003- 00176338,2023-01-01,Cliente: Consumidor Final (1),7894735,1,Santa Fe Lata 473cc,290.0,21.0,290.0,cervezas (26)
25,B 0003- 00176339,2023-01-01,Cliente: Consumidor Final (1),7894731,1,Pepsi 250 cc,130.0,21.0,130.0,pepsi (309)
26,B 0003- 00176340,2023-01-01,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0,cigarrillos
27,B 0003- 00176341,2023-01-01,Cliente: Consumidor Final (1),6766,1,Gatorade Blue 1250,670.0,21.0,670.0,pepsi (309)
