,fecha,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
0,2023-01-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,11.0,7.0,5.0,12.0,3.0,4.0,5.0,10.0,8.0,4.0,9.0,18.0,6.0,0.0,113.0
1,2023-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,9.0,12.0,14.0,10.0,6.0,4.0,8.0,9.0,6.0,10.0,11.0,5.0,0.0,125.0
2,2023-01-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,6.0,7.0,12.0,6.0,4.0,6.0,3.0,10.0,16.0,5.0,17.0,19.0,3.0,2.0,138.0
3,2023-01-06,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,8.0,11.0,10.0,15.0,12.0,10.0,16.0,9.0,18.0,17.0,18.0,10.0,8.0,192.0
4,2023-01-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,12.0,6.0,18.0,10.0,5.0,4.0,7.0,12.0,7.0,17.0,21.0,10.0,6.0,153.0
5,2023-01-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,12.0,10.0,13.0,12.0,1.0,60.0
6,2023-01-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,8.0,10.0,7.0,3.0,6.0,8.0,13.0,6.0,4.0,10.0,11.0,9.0,4.0,2.0,116.0
7,2023-01-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,9.0,18.0,12.0,10.0,8.0,7.0,11.0,8.0,1.0,8.0,17.0,10.0,2.0,135.0
8,2023-01-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,1.0,5.0,4.0,8.0,7.0,8.0,10.0,13.0,7.0,13.0,12.0,3.0,0.0,106.0
9,2023-01-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,10.0,8.0,9.0,6.0,8.0,8.0,8.0,14.0,11.0,10.0,14.0,13.0,8.0,0.0,136.0
10,2023-01-13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,12.0,3.0,18.0,15.0,15.0,3.0,6.0,16.0,20.0,7.0,10.0,28.0,10.0,10.0,198.0
11,2023-01-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,7.0,13.0,14.0,20.0,14.0,83.0
12,2023-01-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9.0,18.0,12.0,8.0,0.0,61.0
13,2023-01-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,11.0,7.0,7.0,12.0,6.0,11.0,10.0,8.0,11.0,16.0,13.0,8.0,0.0,138.0
14,2023-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,8.0,10.0,8.0,9.0,14.0,9.0,7.0,8.0,11.0,11.0,7.0,12.0,0.0,133.0
15,2023-01-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,9.0,15.0,11.0,9.0,8.0,3.0,11.0,12.0,11.0,8.0,15.0,3.0,0.0,136.0
16,2023-01-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,7.0,10.0,3.0,2.0,9.0,2.0,3.0,10.0,9.0,5.0,15.0,9.0,2.0,105.0
17,2023-01-20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,14.0,12.0,5.0,5.0,1.0,2.0,7.0,10.0,12.0,10.0,4.0,6.0,105.0
18,2023-01-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,11.0,6.0,9.0,10.0,10.0,8.0,6.0,9.0,18.0,17.0,6.0,124.0
19,2023-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,16.0,11.0,12.0,0.0,52.0
