,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final
0,B 0003- 00176324,01/01/2023,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,180.0,21.0,180.0
1,B 0003- 00176324,01/01/2023,Cliente: Consumidor Final (1),100,2,Alfajor Fantoche Triple Blanco,150.0,21.0,300.0
2,B 0003- 00176325,01/01/2023,Cliente: Consumidor Final (1),7894680,1,Doritos queso 45g,280.0,21.0,280.0
3,B 0003- 00176325,01/01/2023,Cliente: Consumidor Final (1),907,1,Sprite 1500cc,470.0,21.0,470.0
4,B 0003- 00176326,01/01/2023,Cliente: Consumidor Final (1),6848,1,Tabaco Las Hojas Clasico 50g,340.0,21.0,340.0
5,B 0003- 00176326,01/01/2023,Cliente: Consumidor Final (1),7894098,1,PAPELILLOS PIER CLASICO,90.0,21.0,90.0
6,B 0003- 00176327,01/01/2023,Cliente: Billetera (23),887,1,Mana Rellenas Chocolate,230.0,21.0,230.0
7,B 0003- 00176327,01/01/2023,Cliente: Billetera (23),98,2,Guaymallen Negro,100.0,21.0,200.0
8,B 0003- 00176327,01/01/2023,Cliente: Billetera (23),896,1,Coca Cola 500cc,220.0,21.0,220.0
9,B 0003- 00176327,01/01/2023,Cliente: Billetera (23),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0
10,B 0003- 00176328,01/01/2023,Cliente: Consumidor Final (1),6057,1,OCB negros,180.0,21.0,180.0
11,B 0003- 00176329,01/01/2023,Cliente: Consumidor Final (1),7894860,1,Alfajor Sin Culpa Frutilla 35g,145.0,21.0,145.0
12,B 0003- 00176329,01/01/2023,Cliente: Consumidor Final (1),6803,1,Levite Naranja 500c,150.0,21.0,150.0
13,B 0003- 00176329,01/01/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0
14,B 0003- 00176330,01/01/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
15,B 0003- 00176331,01/01/2023,Cliente: Consumidor Final (1),9541068,2,chesterfild remix fresh 20ks,360.0,21.0,720.0
16,B 0003- 00176332,01/01/2023,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,190.0,21.0,190.0
17,B 0003- 00176333,01/01/2023,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0
18,B 0003- 00176333,01/01/2023,Cliente: Consumidor Final (1),6057,1,OCB negros,180.0,21.0,180.0
19,B 0003- 00176334,01/01/2023,Cliente: Consumidor Final (1),7893779,1,Pipas Gigantes,120.0,21.0,120.0
20,B 0003- 00176334,01/01/2023,Cliente: Consumidor Final (1),7893467,1,Yummy ositos,75.0,21.0,75.0
21,B 0003- 00176335,01/01/2023,Cliente: Consumidor Final (1),248,1,prime ultra fino,450.0,21.0,450.0
22,B 0003- 00176336,01/01/2023,Cliente: Consumidor Final (1),500,500,carga virtual,1.0,21.0,500.0
23,B 0003- 00176337,01/01/2023,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0
24,B 0003- 00176338,01/01/2023,Cliente: Consumidor Final (1),7894735,1,Santa Fe Lata 473cc,290.0,21.0,290.0
25,B 0003- 00176339,01/01/2023,Cliente: Consumidor Final (1),7894731,1,Pepsi 250 cc,130.0,21.0,130.0
26,B 0003- 00176340,01/01/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0
27,B 0003- 00176341,01/01/2023,Cliente: Consumidor Final (1),6766,1,Gatorade Blue 1250,670.0,21.0,670.0
28,B 0003- 00176342,01/01/2023,Cliente: Consumidor Final (1),1,3,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,30.0
29,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),7895193,1,Leche descremada La Serenisima 1l,300.0,21.0,300.0
30,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),7791297,1,Mini Oreo x 50 g,150.0,21.0,150.0
31,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),9541094,1,Tallarines Knorr,191.0,21.0,191.0
32,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,200.0,21.0,200.0
33,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),1,1,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,10.0
34,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0
35,B 0003- 00176343,01/01/2023,Cliente: Consumidor Final (1),112,4,Rhodesia,120.0,21.0,480.0
36,B 0003- 00176344,01/01/2023,Cliente: Consumidor Final (1),2,3,Cigarrillos Suelto lucky,30.0,21.0,90.0
37,B 0003- 00176344,01/01/2023,Cliente: Consumidor Final (1),215,1,suelto economico (pier / liverpool),20.0,0.0,20.0
38,B 0003- 00176345,01/01/2023,Cliente: Consumidor Final (1),21,1,Philip Morris KS,430.0,10.5,430.0
39,B 0003- 00176345,01/01/2023,Cliente: Consumidor Final (1),6305,1,azucar baity comun,295.0,21.0,295.0
40,B 0003- 00176346,01/01/2023,Cliente: Consumidor Final (1),9541096,1,Gillette prestobarba 3,420.0,21.0,420.0
41,B 0003- 00176346,01/01/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,310.0,10.5,310.0
